Date,Gross_Profit
9/30/22,38095
6/30/22,35885
3/31/22,42559
12/31/21,54243
9/30/21,35174
6/30/21,35255
3/31/21,38079
12/31/20,44328
9/30/20,24689
6/30/20,22680
3/31/20,22370
12/31/19,35217
9/30/19,24313
6/30/19,20227
3/31/19,21821
12/31/18,32031
9/30/18,24084
6/30/18,20421
3/31/18,23422
12/31/17,33912
9/30/17,19931
6/30/17,17488
3/31/17,20591
12/31/16,30176
9/30/16,17813
6/30/16,16106
3/31/16,19921
12/31/15,30423
9/30/15,20548
6/30/15,19681
3/31/15,23656
12/31/14,29741
9/30/14,16009
6/30/14,14735
3/31/14,17947
12/31/13,21846
9/30/13,13871
6/30/13,13024
3/31/13,16349
12/31/12,21060
9/30/12,14401
6/30/12,14994
3/31/12,18564
12/31/11,20703
9/30/11,11380
6/30/11,11922
3/31/11,10218
12/31/10,10298
9/30/10,7512
6/30/10,6136
3/31/10,5625
12/31/09,6411
9/30/09,5105
6/30/09,3983
3/31/09,3627
