Date,PE_ratio,PS_ratio,,,,,,
9/30/22,22.58,5.74,,,,,,
6/30/22,22.49,5.81,,,,,,
3/31/22,28.22,7.48,,,,,,
12/31/21,29.23,7.82,,,,,,
9/30/21,25,6.5,,,,,,
6/30/21,26.57,6.67,,,,,,
3/31/21,27.13,6.39,,,,,,
12/31/20,35.51,7.74,,,,,,
9/30/20,35.04,7.33,,,,,,
6/30/20,27.31,5.86,,,,,,
3/31/20,19.59,4.21,,,,,,
12/31/19,22.72,4.92,,,,,,
9/30/19,18.46,3.94,,,,,,
6/30/19,16.42,3.55,,,,,,
3/31/19,15.48,3.45,,,,,,
12/31/18,12.52,2.87,,,,,,
9/30/18,18.29,4.13,,,,,,
6/30/18,16.08,3.55,,,,,,
3/31/18,15.46,3.35,,,,,,
12/31/17,16.54,3.51,,,,,,
9/30/17,15.87,3.36,,,,,,
6/30/17,15.44,3.24,,,,,,
3/31/17,15.79,3.29,,,,,,
12/31/16,12.98,2.7,,,,,,
9/30/16,12.73,2.7,,,,,,
6/30/16,10.34,2.25,,,,,,
3/31/16,11.16,2.5,,,,,,
12/31/15,10.23,2.35,,,,,,
9/30/15,10.89,2.5,,,,,,
6/30/15,13.14,2.99,,,,,,
3/31/15,13.9,3.15,,,,,,
12/31/14,13.39,3,,,,,,
9/30/14,14.04,3.05,,,,,,
6/30/14,13.38,2.91,,,,,,
3/31/14,11.37,2.45,,,,,,
12/31/13,12.27,2.62,,,,,,
9/30/13,10.54,2.29,,,,,,
6/30/13,8.62,1.92,,,,,,
3/31/13,9.14,2.14,,,,,,
12/31/12,10.38,2.63,,,,,,
9/30/12,12.93,3.45,,,,,,
6/30/12,11.7,3.15,,,,,,
3/31/12,12.46,3.38,,,,,,
12/31/11,9.83,2.53,,,,,,
9/30/11,11.75,2.81,,,,,,
6/30/11,11.33,2.66,,,,,,
3/31/11,14.16,3.16,,,,,,
12/31/10,15.35,3.34,,,,,,
9/30/10,15.96,3.43,,,,,,
6/30/10,17.39,3.45,,,,,,
3/31/10,19.7,3.59,,,,,,
12/31/09,20.74,3.5,,,,,,
