date,value
1/2/62,3.22
1/3/62,3.24
1/4/62,3.24
1/5/62,3.26
1/8/62,3.31
1/9/62,3.32
1/10/62,3.33
1/11/62,3.33
1/12/62,3.3
1/15/62,3.32
1/16/62,3.3
1/17/62,3.3
1/18/62,3.27
1/19/62,3.27
1/22/62,3.25
1/23/62,3.25
1/24/62,3.24
1/25/62,3.27
1/26/62,3.28
1/29/62,3.28
1/30/62,3.28
1/31/62,3.29
2/1/62,3.3
2/2/62,3.3
2/5/62,3.29
2/6/62,3.29
2/7/62,3.29
2/8/62,3.3
2/9/62,3.28
2/13/62,3.28
2/14/62,3.31
2/15/62,3.33
2/16/62,3.33
2/19/62,3.32
2/20/62,3.31
2/21/62,3.28
2/23/62,3.24
2/26/62,3.22
2/27/62,3.23
2/28/62,3.21
3/1/62,3.15
3/2/62,3.17
3/5/62,3.18
3/6/62,3.18
3/7/62,3.14
3/8/62,3.11
3/9/62,3.12
3/12/62,3.13
3/13/62,3.11
3/14/62,3.1
3/15/62,3.1
3/16/62,3.06
3/19/62,3.03
3/20/62,3.02
3/21/62,3.01
3/22/62,2.94
3/23/62,2.94
3/26/62,2.95
3/27/62,2.95
3/28/62,2.96
3/29/62,2.96
3/30/62,2.97
4/2/62,2.95
4/3/62,2.93
4/4/62,2.88
4/5/62,2.89
4/6/62,2.89
4/9/62,2.9
4/10/62,2.94
4/11/62,3
4/12/62,3
4/13/62,3
4/16/62,3
4/17/62,3
4/18/62,3
4/19/62,3
4/23/62,3.03
4/24/62,3.08
4/25/62,3.08
4/26/62,3.04
4/27/62,3.07
4/30/62,3.07
5/1/62,3.06
5/2/62,3.06
5/3/62,3.05
5/4/62,3.05
5/7/62,3.04
5/8/62,3.01
5/9/62,3.01
5/10/62,2.99
5/11/62,3
5/14/62,3
5/15/62,3.04
5/16/62,3.04
5/17/62,3.06
5/18/62,3.05
5/21/62,3.05
5/22/62,3.05
5/23/62,3.04
5/24/62,3.02
5/25/62,3.01
5/28/62,2.98
5/29/62,2.97
5/31/62,2.99
6/1/62,2.98
6/4/62,2.98
6/5/62,2.97
6/6/62,2.95
6/7/62,2.95
6/8/62,2.94
6/11/62,2.95
6/12/62,2.94
6/13/62,2.94
6/14/62,3
6/15/62,3
6/18/62,3.03
6/19/62,3.06
6/20/62,3.04
6/21/62,3.04
6/22/62,3.04
6/25/62,3.12
6/26/62,3.14
6/27/62,3.14
