Date, Dow_Jones
11/30/09,10344.84
12/1/09,10471.58
12/2/09,10452.68
12/3/09,10366.15
12/4/09,10388.9
12/7/09,10390.11
12/8/09,10285.97
12/9/09,10337.05
12/10/09,10405.83
12/11/09,10471.5
12/14/09,10501.05
12/15/09,10452
12/16/09,10441.12
12/17/09,10308.26
12/18/09,10328.89
12/21/09,10414.14
12/22/09,10464.93
12/23/09,10466.44
12/24/09,10520.09
12/28/09,10547.08
12/29/09,10545.41
12/30/09,10548.51
12/31/09,10428.05
1/4/10,10583.96
1/5/10,10572.02
1/6/10,10573.68
1/7/10,10606.86
1/8/10,10618.19
1/11/10,10663.99
1/12/10,10627.26
1/13/10,10680.77
1/14/10,10710.55
1/15/10,10609.65
1/19/10,10725.43
1/20/10,10603.15
1/21/10,10389.88
1/22/10,10172.98
1/25/10,10196.86
1/26/10,10194.29
1/27/10,10236.16
1/28/10,10120.46
1/29/10,10067.33
2/1/10,10185.53
2/2/10,10296.85
2/3/10,10270.55
2/4/10,10002.18
2/5/10,10012.23
2/8/10,9908.39
2/9/10,10058.64
2/10/10,10038.38
2/11/10,10144.19
2/12/10,10099.14
2/16/10,10268.81
2/17/10,10309.24
2/18/10,10392.9
2/19/10,10402.35
2/22/10,10383.38
2/23/10,10282.41
2/24/10,10374.16
2/25/10,10321.03
2/26/10,10325.26
3/1/10,10403.79
3/2/10,10405.98
3/3/10,10396.76
3/4/10,10444.14
3/5/10,10566.2
3/8/10,10552.52
3/9/10,10564.38
3/10/10,10567.33
3/11/10,10611.84
3/12/10,10624.69
3/15/10,10642.15
3/16/10,10685.98
3/17/10,10733.67
3/18/10,10779.17
3/19/10,10741.98
3/22/10,10785.89
3/23/10,10888.83
3/24/10,10836.15
3/25/10,10841.21
3/26/10,10850.36
3/29/10,10895.86
3/30/10,10907.42
3/31/10,10856.63
4/1/10,10927.07
4/5/10,10973.55
4/6/10,10969.99
4/7/10,10897.52
4/8/10,10927.07
4/9/10,10997.35
4/12/10,11005.97
4/13/10,11019.42
4/14/10,11123.11
4/15/10,11144.57
4/16/10,11018.66
4/19/10,11092.05
4/20/10,11117.06
4/21/10,11124.92
4/22/10,11134.29
4/23/10,11204.28
4/26/10,11205.03
4/27/10,10991.99
4/28/10,11045.27
4/29/10,11167.32
4/30/10,11008.61
5/3/10,11151.83
5/4/10,10926.77
5/5/10,10866.83
5/6/10,10520.32
5/7/10,10380.43
5/10/10,10785.14
5/11/10,10748.26
5/12/10,10896.91
5/13/10,10782.95
5/14/10,10620.16
5/17/10,10625.83
5/18/10,10510.95
5/19/10,10444.37
5/20/10,10068.01
5/21/10,10193.39
5/24/10,10066.57
5/25/10,10043.75
5/26/10,9974.45
5/27/10,10258.99
5/28/10,10136.63
6/1/10,10024.02
6/2/10,10249.54
6/3/10,10255.28
6/4/10,9931.97
6/7/10,9816.49
6/8/10,9939.98
6/9/10,9899.25
6/10/10,10172.53
6/11/10,10211.07
6/14/10,10190.89
6/15/10,10404.77
6/16/10,10409.46
6/17/10,10434.17
6/18/10,10450.64
6/21/10,10442.41
6/22/10,10293.52
6/23/10,10298.44
6/24/10,10152.8
6/25/10,10143.81
6/28/10,10138.52
