,Date,Close,Gross_Profit,ROE
0,2010-11-26,11.25,7512,0.34
1,2010-11-29,11.316786,7512,0.34
2,2010-11-30,11.1125,7512,0.34
3,2010-12-01,11.3,7512,0.34
4,2010-12-02,11.3625,7512,0.34
5,2010-12-03,11.337143,7512,0.34
6,2010-12-06,11.433929,7512,0.34
7,2010-12-07,11.364643,7512,0.34
8,2010-12-08,11.464643,7512,0.34
9,2010-12-09,11.42,7512,0.34
10,2010-12-10,11.448571,7512,0.34
11,2010-12-13,11.488214,7512,0.34
12,2010-12-14,11.438929,7512,0.34
13,2010-12-15,11.441429,7512,0.34
14,2010-12-16,11.473214,7512,0.34
15,2010-12-17,11.450357,7512,0.34
16,2010-12-20,11.5075,7512,0.34
17,2010-12-21,11.578571,7512,0.34
18,2010-12-22,11.612857,7512,0.34
19,2010-12-23,11.557143,7512,0.34
20,2010-12-27,11.595714,7512,0.34
21,2010-12-28,11.623929,7512,0.34
22,2010-12-29,11.6175,7512,0.34
23,2010-12-30,11.559286,7512,0.34
24,2010-12-31,11.52,10298,0.36
25,2011-01-03,11.770357,10298,0.36
26,2011-01-04,11.831786,10298,0.36
27,2011-01-05,11.928571,10298,0.36
28,2011-01-06,11.918929,10298,0.36
29,2011-01-07,12.004286,10298,0.36
30,2011-01-10,12.230357,10298,0.36
31,2011-01-11,12.201429,10298,0.36
32,2011-01-12,12.300714,10298,0.36
33,2011-01-13,12.345714,10298,0.36
34,2011-01-14,12.445714,10298,0.36
35,2011-01-18,12.166071,10298,0.36
36,2011-01-19,12.101429,10298,0.36
37,2011-01-20,11.881429,10298,0.36
38,2011-01-21,11.668571,10298,0.36
39,2011-01-24,12.051786,10298,0.36
40,2011-01-25,12.192857,10298,0.36
41,2011-01-26,12.280357,10298,0.36
42,2011-01-27,12.2575,10298,0.36
43,2011-01-28,12.003571,10298,0.36
44,2011-01-31,12.118571,10298,0.36
45,2011-02-01,12.3225,10298,0.36
46,2011-02-02,12.297143,10298,0.36
47,2011-02-03,12.265714,10298,0.36
48,2011-02-04,12.375,10298,0.36
49,2011-02-07,12.567143,10298,0.36
50,2011-02-08,12.685714,10298,0.36
51,2011-02-09,12.791429,10298,0.36
52,2011-02-10,12.662143,10298,0.36
53,2011-02-11,12.744643,10298,0.36
54,2011-02-14,12.827857,10298,0.36
55,2011-02-15,12.853571,10298,0.36
56,2011-02-16,12.968929,10298,0.36
57,2011-02-17,12.796429,10298,0.36
58,2011-02-18,12.52,10298,0.36
59,2011-02-22,12.093214,10298,0.36
60,2011-02-23,12.236429,10298,0.36
61,2011-02-24,12.245714,10298,0.36
62,2011-02-25,12.434286,10298,0.36
63,2011-02-28,12.614643,10298,0.36
64,2011-03-01,12.475357,10298,0.36
