,Date,Close,tnote,tbill,Fed_rate,GDP,GDP_growth,CPI
0,2010-11-26,11.25,2.87,0.28,0.2,15309.471,2.70885669,219.59
1,2010-11-29,11.316786,2.84,0.28,0.2,15309.471,2.70885669,219.59
2,2010-11-30,11.1125,2.81,0.27,0.2,15309.471,2.70885669,219.59
3,2010-12-01,11.3,2.97,0.28,0.2,15309.471,2.70885669,220.472
4,2010-12-02,11.3625,3.01,0.29,0.19,15309.471,2.70885669,220.472
5,2010-12-03,11.337143,3.03,0.26,0.18,15309.471,2.70885669,220.472
6,2010-12-06,11.433929,2.95,0.26,0.18,15309.471,2.70885669,220.472
7,2010-12-07,11.364643,3.15,0.28,0.17,15309.471,2.70885669,220.472
8,2010-12-08,11.464643,3.26,0.3,0.17,15309.471,2.70885669,220.472
9,2010-12-09,11.42,3.23,0.3,0.16,15309.471,2.70885669,220.472
10,2010-12-10,11.448571,3.32,0.29,0.16,15309.471,2.70885669,220.472
11,2010-12-13,11.488214,3.29,0.29,0.17,15309.471,2.70885669,220.472
12,2010-12-14,11.438929,3.49,0.3,0.19,15309.471,2.70885669,220.472
13,2010-12-15,11.441429,3.53,0.3,0.2,15309.471,2.70885669,220.472
14,2010-12-16,11.473214,3.47,0.31,0.2,15309.471,2.70885669,220.472
15,2010-12-17,11.450357,3.33,0.3,0.2,15309.471,2.70885669,220.472
16,2010-12-20,11.5075,3.36,0.3,0.21,15309.471,2.70885669,220.472
17,2010-12-21,11.578571,3.35,0.3,0.2,15309.471,2.70885669,220.472
18,2010-12-22,11.612857,3.36,0.3,0.19,15309.471,2.70885669,220.472
19,2010-12-23,11.557143,3.41,0.3,0.19,15309.471,2.70885669,220.472
20,2010-12-27,11.595714,3.36,0.32,0.19,15309.471,2.70885669,220.472
21,2010-12-28,11.623929,3.5,0.31,0.18,15309.471,2.70885669,220.472
22,2010-12-29,11.6175,3.35,0.3,0.18,15309.471,2.70885669,220.472
23,2010-12-30,11.559286,3.38,0.29,0.19,15309.471,2.70885669,220.472
24,2010-12-31,11.52,3.3,0.29,0.13,15309.471,2.70885669,220.472
25,2011-01-03,11.770357,3.36,0.29,0.19,15351.444,1.54989495,221.187
26,2011-01-04,11.831786,3.36,0.28,0.18,15351.444,1.54989495,221.187
27,2011-01-05,11.928571,3.5,0.31,0.18,15351.444,1.54989495,221.187
28,2011-01-06,11.918929,3.44,0.3,0.17,15351.444,1.54989495,221.187
29,2011-01-07,12.004286,3.34,0.29,0.17,15351.444,1.54989495,221.187
30,2011-01-10,12.230357,3.32,0.29,0.17,15351.444,1.54989495,221.187
31,2011-01-11,12.201429,3.37,0.28,0.17,15351.444,1.54989495,221.187
32,2011-01-12,12.300714,3.4,0.26,0.16,15351.444,1.54989495,221.187
33,2011-01-13,12.345714,3.34,0.26,0.16,15351.444,1.54989495,221.187
34,2011-01-14,12.445714,3.35,0.27,0.16,15351.444,1.54989495,221.187
35,2011-01-18,12.166071,3.39,0.26,0.19,15351.444,1.54989495,221.187
36,2011-01-19,12.101429,3.37,0.27,0.18,15351.444,1.54989495,221.187
37,2011-01-20,11.881429,3.47,0.27,0.18,15351.444,1.54989495,221.187
38,2011-01-21,11.668571,3.44,0.27,0.17,15351.444,1.54989495,221.187
39,2011-01-24,12.051786,3.43,0.28,0.18,15351.444,1.54989495,221.187
40,2011-01-25,12.192857,3.35,0.27,0.17,15351.444,1.54989495,221.187
41,2011-01-26,12.280357,3.45,0.27,0.17,15351.444,1.54989495,221.187
42,2011-01-27,12.2575,3.42,0.25,0.17,15351.444,1.54989495,221.187
43,2011-01-28,12.003571,3.36,0.24,0.17,15351.444,1.54989495,221.187
44,2011-01-31,12.118571,3.42,0.26,0.17,15351.444,1.54989495,221.187
45,2011-02-01,12.3225,3.48,0.27,0.18,15351.444,1.54989495,221.898
46,2011-02-02,12.297143,3.52,0.28,0.18,15351.444,1.54989495,221.898
47,2011-02-03,12.265714,3.58,0.29,0.17,15351.444,1.54989495,221.898
48,2011-02-04,12.375,3.68,0.31,0.17,15351.444,1.54989495,221.898
49,2011-02-07,12.567143,3.68,0.31,0.17,15351.444,1.54989495,221.898
50,2011-02-08,12.685714,3.75,0.31,0.16,15351.444,1.54989495,221.898
51,2011-02-09,12.791429,3.65,0.3,0.15,15351.444,1.54989495,221.898
52,2011-02-10,12.662143,3.7,0.3,0.15,15351.444,1.54989495,221.898
53,2011-02-11,12.744643,3.64,0.3,0.15,15351.444,1.54989495,221.898
54,2011-02-14,12.827857,3.62,0.3,0.15,15351.444,1.54989495,221.898
55,2011-02-15,12.853571,3.61,0.3,0.16,15351.444,1.54989495,221.898
56,2011-02-16,12.968929,3.62,0.29,0.15,15351.444,1.54989495,221.898
57,2011-02-17,12.796429,3.58,0.27,0.15,15351.444,1.54989495,221.898
58,2011-02-18,12.52,3.59,0.28,0.15,15351.444,1.54989495,221.898
59,2011-02-22,12.093214,3.46,0.28,0.15,15351.444,1.54989495,221.898
60,2011-02-23,12.236429,3.49,0.27,0.15,15351.444,1.54989495,221.898
61,2011-02-24,12.245714,3.46,0.26,0.15,15351.444,1.54989495,221.898
62,2011-02-25,12.434286,3.42,0.27,0.15,15351.444,1.54989495,221.898
63,2011-02-28,12.614643,3.42,0.25,0.16,15351.444,1.54989495,221.898
64,2011-03-01,12.475357,3.41,0.25,0.15,15351.444,1.54989495,223.046
65,2011-03-02,12.575714,3.46,0.26,0.16,15351.444,1.54989495,223.046
66,2011-03-03,12.841429,3.58,0.29,0.15,15351.444,1.54989495,223.046
67,2011-03-04,12.857143,3.49,0.26,0.15,15351.444,1.54989495,223.046
68,2011-03-07,12.691429,3.51,0.25,0.14,15351.444,1.54989495,223.046
69,2011-03-08,12.705714,3.56,0.26,0.14,15351.444,1.54989495,223.046
70,2011-03-09,12.588214,3.48,0.26,0.14,15351.444,1.54989495,223.046
71,2011-03-10,12.381071,3.37,0.25,0.14,15351.444,1.54989495,223.046
72,2011-03-11,12.571071,3.4,0.24,0.13,15351.444,1.54989495,223.046
73,2011-03-14,12.627143,3.36,0.22,0.14,15351.444,1.54989495,223.046
74,2011-03-15,12.336786,3.33,0.23,0.14,15351.444,1.54989495,223.046
75,2011-03-16,11.786071,3.22,0.21,0.14,15351.444,1.54989495,223.046
76,2011-03-17,11.951429,3.25,0.24,0.14,15351.444,1.54989495,223.046
77,2011-03-18,11.809643,3.28,0.23,0.15,15351.444,1.54989495,223.046
78,2011-03-21,12.117857,3.34,0.25,0.14,15351.444,1.54989495,223.046
79,2011-03-22,12.185714,3.34,0.25,0.14,15351.444,1.54989495,223.046
80,2011-03-23,12.113929,3.36,0.24,0.14,15351.444,1.54989495,223.046
81,2011-03-24,12.320357,3.42,0.26,0.13,15351.444,1.54989495,223.046
82,2011-03-25,12.555,3.46,0.3,0.13,15351.444,1.54989495,223.046
83,2011-03-28,12.515714,3.47,0.3,0.13,15351.444,1.54989495,223.046
84,2011-03-29,12.534286,3.5,0.31,0.13,15351.444,1.54989495,223.046
85,2011-03-30,12.451071,3.47,0.3,0.13,15351.444,1.54989495,223.046
86,2011-03-31,12.446786,3.47,0.3,0.1,15351.444,1.54989495,223.046
87,2011-04-01,12.305714,3.46,0.27,0.11,15557.535,1.54989495,224.093
88,2011-04-04,12.185357,3.45,0.24,0.09,15557.535,1.54989495,224.093
89,2011-04-05,12.103214,3.5,0.3,0.09,15557.535,1.54989495,224.093
90,2011-04-06,12.072857,3.56,0.29,0.1,15557.535,1.54989495,224.093
91,2011-04-07,12.074286,3.58,0.27,0.1,15557.535,1.54989495,224.093
92,2011-04-08,11.966429,3.59,0.27,0.09,15557.535,1.54989495,224.093
93,2011-04-11,11.814286,3.59,0.26,0.09,15557.535,1.54989495,224.093
94,2011-04-12,11.871429,3.52,0.24,0.08,15557.535,1.54989495,224.093
95,2011-04-13,12.004643,3.49,0.23,0.08,15557.535,1.54989495,224.093
96,2011-04-14,11.872143,3.51,0.25,0.09,15557.535,1.54989495,224.093
97,2011-04-15,11.695,3.43,0.24,0.12,15557.535,1.54989495,224.093
98,2011-04-18,11.851786,3.4,0.24,0.1,15557.535,1.54989495,224.093
99,2011-04-19,12.066429,3.39,0.24,0.11,15557.535,1.54989495,224.093
100,2011-04-20,12.228929,3.43,0.24,0.1,15557.535,1.54989495,224.093
101,2011-04-21,12.525,3.42,0.23,0.1,15557.535,1.54989495,224.093
102,2011-04-25,12.6075,3.39,0.23,0.1,15557.535,1.54989495,224.093
