Date,Close,Gross_Profit,ROE,ROI,PE_ratio,PS_ratio
11/26/10,11.25,7512,0.34,0.73,15.96,3.43
11/29/10,11.316786,7512,0.34,0.70,15.96,3.43
11/30/10,11.1125,7512,0.34,0.69,15.96,3.43
12/1/10,11.3,7512,0.34,0.67,15.96,3.43
12/2/10,11.3625,7512,0.34,0.64,15.96,3.43
12/3/10,11.337143,7512,0.34,0.59,15.96,3.43
12/6/10,11.433929,7512,0.34,0.53,15.96,3.43
12/7/10,11.364643,7512,0.34,0.45,15.96,3.43
12/8/10,11.464643,7512,0.34,0.39,15.96,3.43
12/9/10,11.42,7512,0.34,0.38,15.96,3.43
12/10/10,11.448571,7512,0.34,0.37,15.96,3.43
12/13/10,11.488214,7512,0.34,0.36,15.96,3.43
12/14/10,11.438929,7512,0.34,0.33,15.96,3.43
12/15/10,11.441429,7512,0.34,0.33,15.96,3.43
12/16/10,11.473214,7512,0.34,0.32,15.96,3.43
12/17/10,11.450357,7512,0.34,0.32,15.96,3.43
12/20/10,11.5075,7512,0.34,0.32,15.96,3.43
12/21/10,11.578571,7512,0.34,0.30,15.96,3.43
12/22/10,11.612857,7512,0.34,0.29,15.96,3.43
12/23/10,11.557143,7512,0.34,0.28,15.96,3.43
12/27/10,11.595714,7512,0.34,0.28,15.96,3.43
12/28/10,11.623929,7512,0.34,0.28,15.96,3.43
12/29/10,11.6175,7512,0.34,0.29,15.96,3.43
12/30/10,11.559286,7512,0.34,0.29,15.96,3.43
12/31/10,11.52,10298,0.36,0.31,15.35,3.34
1/3/11,11.770357,10298,0.36,0.34,15.35,3.34
1/4/11,11.831786,10298,0.36,0.37,15.35,3.34
1/5/11,11.928571,10298,0.36,0.41,15.35,3.34
1/6/11,11.918929,10298,0.36,0.42,15.35,3.34
1/7/11,12.004286,10298,0.36,0.42,15.35,3.34
1/10/11,12.230357,10298,0.36,0.42,15.35,3.34
1/11/11,12.201429,10298,0.36,0.41,15.35,3.34
1/12/11,12.300714,10298,0.36,0.37,15.35,3.34
1/13/11,12.345714,10298,0.36,0.36,15.35,3.34
1/14/11,12.445714,10298,0.36,0.36,15.35,3.34
1/18/11,12.166071,10298,0.36,0.46,15.35,3.34
1/19/11,12.101429,10298,0.36,0.70,15.35,3.34
1/20/11,11.881429,10298,0.36,1.42,15.35,3.34
1/21/11,11.668571,10298,0.36,,15.35,3.34
1/24/11,12.051786,10298,0.36,,15.35,3.34
1/25/11,12.192857,10298,0.36,,15.35,3.34
1/26/11,12.280357,10298,0.36,,15.35,3.34
1/27/11,12.2575,10298,0.36,,15.35,3.34
1/28/11,12.003571,10298,0.36,,15.35,3.34
1/31/11,12.118571,10298,0.36,,15.35,3.34
2/1/11,12.3225,10298,0.36,,15.35,3.34
2/2/11,12.297143,10298,0.36,,15.35,3.34
2/3/11,12.265714,10298,0.36,,15.35,3.34
2/4/11,12.375,10298,0.36,,15.35,3.34
2/7/11,12.567143,10298,0.36,,15.35,3.34
2/8/11,12.685714,10298,0.36,,15.35,3.34
2/9/11,12.791429,10298,0.36,,15.35,3.34
2/10/11,12.662143,10298,0.36,,15.35,3.34
2/11/11,12.744643,10298,0.36,,15.35,3.34
2/14/11,12.827857,10298,0.36,,15.35,3.34
2/15/11,12.853571,10298,0.36,,15.35,3.34
2/16/11,12.968929,10298,0.36,,15.35,3.34
2/17/11,12.796429,10298,0.36,,15.35,3.34
2/18/11,12.52,10298,0.36,,15.35,3.34
2/22/11,12.093214,10298,0.36,,15.35,3.34
2/23/11,12.236429,10298,0.36,,15.35,3.34
2/24/11,12.245714,10298,0.36,,15.35,3.34
2/25/11,12.434286,10298,0.36,,15.35,3.34
