Date,tnote,tbill,Fed_rate,GDP,GDP_growth,CPI
1962-01-02,4.06,3.22,2.75,594.013,6.1,30.04
1962-01-03,4.03,3.24,2.5,594.013,6.1,30.04
1962-01-04,3.99,3.24,2.75,594.013,6.1,30.04
1962-01-05,4.02,3.26,2.5,594.013,6.1,30.04
1962-01-08,4.03,3.31,2.0,594.013,6.1,30.04
1962-01-09,4.05,3.32,1.25,594.013,6.1,30.04
1962-01-10,4.07,3.33,0.5,594.013,6.1,30.04
1962-01-11,4.08,3.33,2.75,594.013,6.1,30.04
1962-01-12,4.08,3.3,2.75,594.013,6.1,30.04
1962-01-15,4.1,3.32,3.0,594.013,6.1,30.04
1962-01-16,4.13,3.3,2.5,594.013,6.1,30.04
1962-01-17,4.12,3.3,3.0,594.013,6.1,30.04
1962-01-18,4.11,3.27,2.25,594.013,6.1,30.04
1962-01-19,4.11,3.27,2.0,594.013,6.1,30.04
1962-01-22,4.09,3.25,1.25,594.013,6.1,30.04
1962-01-23,4.11,3.25,0.5,594.013,6.1,30.04
1962-01-24,4.1,3.24,0.25,594.013,6.1,30.04
1962-01-25,4.11,3.27,2.0,594.013,6.1,30.04
1962-01-26,4.11,3.28,2.5,594.013,6.1,30.04
1962-01-29,4.12,3.28,2.5,594.013,6.1,30.04
1962-01-30,4.11,3.28,1.5,594.013,6.1,30.04
1962-01-31,4.1,3.29,1.5,594.013,6.1,30.04
1962-02-01,4.09,3.3,2.25,594.013,6.1,30.11
1962-02-02,4.08,3.3,1.5,594.013,6.1,30.11
1962-02-05,4.07,3.29,2.0,594.013,6.1,30.11
1962-02-06,4.06,3.29,2.75,594.013,6.1,30.11
1962-02-07,4.07,3.29,2.75,594.013,6.1,30.11
1962-02-08,4.07,3.3,2.75,594.013,6.1,30.11
1962-02-09,4.05,3.28,2.75,594.013,6.1,30.11
1962-02-13,4.03,3.28,1.75,594.013,6.1,30.11
1962-02-14,4.03,3.31,2.75,594.013,6.1,30.11
1962-02-15,4.02,3.33,2.75,594.013,6.1,30.11
1962-02-16,4.02,3.33,2.5,594.013,6.1,30.11
1962-02-19,4.01,3.32,2.5,594.013,6.1,30.11
1962-02-20,4.05,3.31,1.75,594.013,6.1,30.11
1962-02-21,4.03,3.28,2.0,594.013,6.1,30.11
1962-02-23,4.02,3.24,2.5,594.013,6.1,30.11
1962-02-26,4.0,3.22,2.5,594.013,6.1,30.11
1962-02-27,4.01,3.23,2.5,594.013,6.1,30.11
1962-02-28,4.0,3.21,2.75,594.013,6.1,30.11
1962-03-01,3.98,3.15,2.5,594.013,6.1,30.17
1962-03-02,3.98,3.17,2.75,594.013,6.1,30.17
1962-03-05,4.0,3.18,2.75,594.013,6.1,30.17
1962-03-06,4.01,3.18,2.75,594.013,6.1,30.17
1962-03-07,4.0,3.14,3.0,594.013,6.1,30.17
1962-03-08,3.98,3.11,2.75,594.013,6.1,30.17
1962-03-09,3.96,3.12,3.0,594.013,6.1,30.17
1962-03-12,3.94,3.13,3.0,594.013,6.1,30.17
1962-03-13,3.92,3.11,2.75,594.013,6.1,30.17
1962-03-14,3.93,3.1,2.75,594.013,6.1,30.17
1962-03-15,3.96,3.1,2.75,594.013,6.1,30.17
1962-03-16,3.96,3.06,2.75,594.013,6.1,30.17
1962-03-19,3.93,3.03,3.0,594.013,6.1,30.17
1962-03-20,3.91,3.02,2.75,594.013,6.1,30.17
1962-03-21,3.86,3.01,3.0,594.013,6.1,30.17
1962-03-22,3.83,2.94,3.0,594.013,6.1,30.17
1962-03-23,3.87,2.94,3.0,594.013,6.1,30.17
